customer_id,region,city,cap
d2dacbeeaec5aa8722102ff00b782580,,Pavia,64020.0
33a0ede763ee223996e200f111e33592,Lazio,Roma,14403.0
7ef43c3eb0d94e1f5e0a49b2f3bc34a9,Campania,,3034.0
43eb99f58b7ab10c0d125728f50e9427,Campania,,4376.0
252958ad9cd878e5fd02fdbae229fcf4,Campania,,8030.0
e72d7c42e6184c4f88acbfa547d77a0d,Campania,Salerno,2714.0
5c220bc37df60715575a60d3ec7b72a0,Lazio,Frosinone,5684.0
bfbaa776ca378a2d38584020bbb3cec2,Veneto,Rovigo,18050.0
355767124591b6224d962485bd1fa883,Campania,Benevento,8440.0
96fc32169071d688c5699248a7446266,Veneto,Vicenza,14160.0
7dab920e35ce0d5b1139e8999423fcc1,,,14620.0
168a3986b2659eb86cf4738f5b50575c,,,19910.0
1fef69d2c1caa29efde6334f753dc41a,,,13905.0
cbf01abca3c8356551f3588db955256e,Veneto,Vicenza,13690.0
5ab696699d0dd980f653aa7ff7f4242a,Veneto,Verona,13710.0
a7961e607552d0cebcc486ef283b4c47,Veneto,Venezia,12630.0
6956947a848550caa689ee8222a11c4c,Lazio,,5819.0
6f5a474e3e4fab8487a01cd4eabcc91a,Lazio,,3382.0
16322e237a07158592862b5d6d91642d,Lazio,,4515.0
a26e57e9f234d61b47047662377e8772,Veneto,Venezia,17400.0
526542b3a44f1395af237c96b4a6fc57,,Frosinone,8070.0
2264bfe104fae1c05829148aabac2f81,,Frosinone,5716.0
d58d04003ac810adac58890472e3a443,Sicilia,Siracusa,11070.0
5a45b62097021e8329b56d929aa1b6fc,Veneto,Belluno,17900.0
64c3b046e53fead1e450ccccfbe966a6,Veneto,Belluno,6900.0
4e301353a2036c4e1a67bf0c259850f2,Sicilia,Palermo,13465.0
246fdbb2a404aaee6bb5d93190dbf7e0,Piemonte,Verbano Cusio Ossola,20551.0
870adbb0525043aafd98bf1fa4660515,Puglia,Bari,
a0474d5c284634e68266e32c11deb9b8,Puglia,Bari,
c43867621bf95a848e59bbbf9dbcad01,Puglia,Foggia,
12d53177e4683bebc84096c140330369,,Cuneo,20771.0
057adf4557a4a3544a67ea4221b891c0,,Ferrara,9170.0
0ae2a7fe487a9e59d21a1413570cae2e,,Lucca,33130.0
3aa2c129bd23bcce61a0683c4460860b,Toscana,,37757.0
0403515b897169ea1b001e4ea602bf84,Puglia,,28680.0
f6cc975f9ed5f7d6d78d5f8ac711a7ac,Puglia,,37170.0
ac9fc6d2a60feb9bd19d1c24370c5107,Calabria,Catanzaro,35501.0
7fb60bfe0fc82857d599d184dcbb92e5,,,
062184594d2f701642d78351528e8592,,,
531becfc93ec1ae0c830d67da0a594b7,Sardegna,Oristano,96065.0
