pk_product,fk_category,name_length,description_length,imgs_qty,last_updated
a41e356c76fab66334f36de622ecbd3a,1,0,0,0,2025-03-26 14:59:44
d8dee61c2034d6d075997acef1870e9b,1,0,0,0,2025-03-26 14:59:44
51fed4afb1b41d00ad9d25a73b7fbbc7,1,48,303,3,2025-03-26 14:59:44
70d1bd3a042448105a71d0b41ecbc96b,1,56,235,1,2025-03-26 14:59:44
2bfb0bdbcea77da2879f0ef3be9a219e,1,53,439,5,2025-03-26 14:59:44
56139431d72cd51f19eb9f7dae4d1617,1,0,0,0,2025-03-26 14:59:44
46b48281eb6d663ced748f324108c733,1,0,0,0,2025-03-26 14:59:44
5fb61f482620cb672f5e586bb132eae9,1,0,0,0,2025-03-26 14:59:44
7207700449f2433076d70a5b1c004eb4,1,44,421,1,2025-03-26 14:59:44
e10758160da97891c2fdcbc35f0f031d,1,0,0,0,2025-03-26 14:59:44
3519403062e217f433e0bbdc52e0b19f,1,25,211,1,2025-03-26 14:59:44
4bae12e58c9b828e1302a2cad437b80a,1,47,358,3,2025-03-26 14:59:44
39e3b9b12cd0bf8ee681bbc1c130feb5,1,0,0,0,2025-03-26 14:59:44
794de06c32a626a5692ff50e4985d36f,1,0,0,0,2025-03-26 14:59:44
e71ba6dc5ef4b3bada7ee8d17304d31e,1,56,3354,4,2025-03-26 14:59:44
c4344f6de69a96da8febce3f885171f0,1,53,310,1,2025-03-26 14:59:44
7af3e2da474486a3519b0cba9dea8ad9,1,0,0,0,2025-03-26 14:59:44
0d79e2972015716ede4fabeb5b60f8c6,1,50,257,3,2025-03-26 14:59:44
629beb8e7317703dcc5f35b5463fd20e,1,0,0,0,2025-03-26 14:59:44
3a78f64aac654298e4b9aff32fc21818,1,0,0,0,2025-03-26 14:59:44
4c7d111494b1116a2bec5e2d940e3439,1,39,319,4,2025-03-26 14:59:44
bcb815bba008d89458e428078c0b9211,1,0,0,0,2025-03-26 14:59:44
6b82874c6b51b92913dcdb364eaaae0f,1,0,0,0,2025-03-26 14:59:44
c68b419d9c6038271b85bac98adb0fc9,1,0,0,0,2025-03-26 14:59:44
f102842fbe436027eeeb7fc76d3063aa,1,59,434,3,2025-03-26 14:59:44
1dcd65bb5dd967d7b4c6b0223cefb838,1,0,0,0,2025-03-26 14:59:44
464383c22e65860826cf78650fe0f4e4,1,49,781,5,2025-03-26 14:59:44
671446e8e3aa3df1eca47b6c354a2921,1,0,0,0,2025-03-26 14:59:44
f0ea71b6e2ab4cb3bd8f5ba522a25a56,1,0,0,0,2025-03-26 14:59:44
fedccbd5e370e8ddb7aae6fb4cb70347,1,0,0,0,2025-03-26 14:59:44
aff4c4ee166f76b66595e0bcfb983d5b,1,49,472,1,2025-03-26 14:59:44
212cc0fa7359ab242a697a03a574f719,1,0,0,0,2025-03-26 14:59:44
233ad2cdae25fbf46f0d090b678d23f4,1,53,213,3,2025-03-26 14:59:44
6b7879a37ac2dbe5289a16706e859870,1,0,0,0,2025-03-26 14:59:44
44e8945e17aef03daaecbc4bbab7f730,1,0,0,0,2025-03-26 14:59:44
3abf2d4698bf245577543ea01d9c7f16,1,0,0,0,2025-03-26 14:59:44
