customer_id,region,city,cap
bd96ad9d1c5bc76bc56f5becb99f39e9,   Emili5a Romagna,Ferrara...,9241
059a6bcd8055546a0aa2330dd63d972d,.Emilia Romagna   ,Ferrara,14860
360469aa13eab175485990e06ee97896,/Emilia Romagna,Modena____,13212
b25c961cb9da931b083a952527eb8956,Sicilia/. ,Ragusa,13270
65b807fbbad4c599dfc22b66484d093a,Emilia.... Romagna,Ravenna,13562
29aec8d00435f9c9bd43485663f7b97a,Sicilia,Agrig97ento,14850
5eef8c5a24bd948fac341c6ebe3ce41e,Emilia Romagna,Ferrara,9271
fd2767fd04a34f7fe8b2ebb51f86c535,Emilia Romagna,Parma,12215
fb04e5eb553d32e040a1a83cf436a65c,Emilia Ro34magna,///Bologna,13041
52f53291ff1011cdb7d19e97f2648974,Emilia 44 Romagna,Bologna///,13087
acad1895356162bac7a8215bd2ac7406,Emilia $&+:;=?@#|<>.^*()%! Romagna,Bologna,13036
8094bd1ea8a8453c1855f06552200117,Piemonte,Torino,20735
c7e9d64ef2d3e98ad1b5068dbc859934,Pie5monte,Tori11no,22240
278003098109cfa2d2625f4772cb2a57,Emilia Romagna,Forlì Cesena,13416
a187d29dfe942335287dc88897ed265c,Ca890mpania,Salerno999,5171
